"Question Type","Question Title","Question Category","Questions Image","Option 1","Question Explanation","Option 2","Question Explanation_1","Option 3","Question Explanation_2","Option 4","Question Explanation_3","Option 5","Question Explanation_4","Answer","Show correct answer","Passing grade (%)","Points total cut after re-take (%)","Randomize questions","Quiz Title","Quiz Content","Quiz Frontend description","Quiz Featured Image","Quiz Duration","Duration Mesures (Minutes/ Hours/Days)","Course Name","Section Name","Relevant IDs"
"single_choice","What does organic social media refer to?","Social Media Strategy","","Unpaid content shared through social platforms","CORRECT - Organic social media is unpaid activity such as posts, stories, tweets or videos. | This option matches the document concept. | KSBs Covered: K4.2","Sponsored content bought through ad tools","INCORRECT - Organic social media is unpaid activity such as posts, stories, tweets or videos. | This describes paid social activity.","Influencer content only with brand approval","INCORRECT - Organic social media is unpaid activity such as posts, stories, tweets or videos. | Influencers may be used, but that is not the definition.","Content shown only to employees","INCORRECT - Organic social media is unpaid activity such as posts, stories, tweets or videos. | Organic posts are not restricted to employees.","","","1","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A local bakery pays Facebook to promote a post about a new cake flavour to nearby dessert fans. Which strategy is this?","Social Media Strategy","","Organic social media","INCORRECT - Paid social uses advertising spend to reach a selected audience, as in the bakery example. | Organic would not involve paying the platform.","Paid social media","CORRECT - Paid social uses advertising spend to reach a selected audience, as in the bakery example. | This option matches the document concept. | KSBs Covered: K4.2","Employee advocacy","INCORRECT - Paid social uses advertising spend to reach a selected audience, as in the bakery example. | Employee advocacy involves staff sharing, not ad spend.","Community moderation","INCORRECT - Paid social uses advertising spend to reach a selected audience, as in the bakery example. | Moderation is managing conversations, not promotion.","","","2","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which factor is described as helping an organic Instagram post gain wider reach after it is first published?","Social Media Strategy","","Alphabetical username order","INCORRECT - The materials explain that early likes, comments and shares can lead algorithms to show posts to more people. | Feeds are not ranked alphabetically.","A larger file size","INCORRECT - The materials explain that early likes, comments and shares can lead algorithms to show posts to more people. | File size is not presented as a ranking benefit.","High early engagement","CORRECT - The materials explain that early likes, comments and shares can lead algorithms to show posts to more people. | This option matches the document concept. | KSBs Covered: K3.1, S5.2","A longer legal disclaimer","INCORRECT - The materials explain that early likes, comments and shares can lead algorithms to show posts to more people. | Disclaimers may be necessary, but are not a reach signal.","","","3","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A brand wants guaranteed visibility for a time-sensitive product launch. Which choice best matches the learning material?","Social Media Strategy","","Use only unpaid posts and wait for slow growth","INCORRECT - Paid content can bypass some algorithm restrictions and provide fast, targeted visibility. | Organic can be useful, but it may be slow and limited.","Avoid targeting to keep reach unpredictable","INCORRECT - Paid content can bypass some algorithm restrictions and provide fast, targeted visibility. | Targeting is a core advantage of paid social.","Post once and ignore performance data","INCORRECT - Paid content can bypass some algorithm restrictions and provide fast, targeted visibility. | Performance monitoring is needed for effectiveness.","Use paid content to bypass organic reach limits","CORRECT - Paid content can bypass some algorithm restrictions and provide fast, targeted visibility. | This option matches the document concept. | KSBs Covered: K4.3","","","4","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A small business has a limited budget and wants long-term community value. Which route fits the decision-tree guidance?","Social Media Strategy","","Choose paid-only activity for all updates","INCORRECT - The budget and resources decision tree recommends organic when long-term value matters and budget is limited. | Paid-only is not ideal when budget is limited.","Choose organic activity as the main approach","CORRECT - The budget and resources decision tree recommends organic when long-term value matters and budget is limited. | This option matches the document concept. | KSBs Covered: B3.1, K4.2","Stop posting until a large budget is available","INCORRECT - The budget and resources decision tree recommends organic when long-term value matters and budget is limited. | The materials do not advise stopping activity.","Use broad ads with no audience definition","INCORRECT - The budget and resources decision tree recommends organic when long-term value matters and budget is limited. | Undefined targeting weakens the value of paid social.","","","2","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which statement best describes a core advantage of organic social content?","Social Media Strategy","","It builds credibility through authentic interaction","CORRECT - Organic content is positioned as authentic and useful for community, trust and loyalty. | This option matches the document concept. | KSBs Covered: K4.2, S1.3","It guarantees impressions beyond followers","INCORRECT - Organic content is positioned as authentic and useful for community, trust and loyalty. | Guaranteed reach is associated with paid activity.","It removes the need for community management","INCORRECT - Organic content is positioned as authentic and useful for community, trust and loyalty. | Organic often requires active community management.","It always creates immediate sales","INCORRECT - Organic content is positioned as authentic and useful for community, trust and loyalty. | Immediate sales are more closely associated with paid objectives.","","","1","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which paid tactic is described as using a strong organic post as proof before widening reach?","Social Media Strategy","","Deleting underperforming comments","INCORRECT - The textbook describes putting budget behind an organic post that is already performing well. | Deleting comments is not the tactic described.","Replacing the content calendar","INCORRECT - The textbook describes putting budget behind an organic post that is already performing well. | A boost supports the calendar; it does not replace it.","Posting only private stories","INCORRECT - The textbook describes putting budget behind an organic post that is already performing well. | Private stories would limit reach rather than widen it.","Boosting a proven organic post","CORRECT - The textbook describes putting budget behind an organic post that is already performing well. | This option matches the document concept. | KSBs Covered: K4.2, S5.3","","","4","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Why can a business page with many followers still receive low organic reach?","Social Media Strategy","","Followers are automatically removed after each post","INCORRECT - The material explains that algorithms may test posts with a smaller group and expand reach if engagement is strong. | The documents do not say followers are removed.","Organic posts are hidden from all followers by law","INCORRECT - The material explains that algorithms may test posts with a smaller group and expand reach if engagement is strong. | No legal rule of this type is presented.","The algorithm may show the post to only a small sample first","CORRECT - The material explains that algorithms may test posts with a smaller group and expand reach if engagement is strong. | This option matches the document concept. | KSBs Covered: K3.1, B1.1","Only paid posts can receive comments","INCORRECT - The material explains that algorithms may test posts with a smaller group and expand reach if engagement is strong. | Organic posts can receive comments and shares.","","","3","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A campaign gets many ad clicks, but most visitors leave immediately. What should a marketer avoid assuming?","Social Media Strategy","","That bounce behaviour should be reviewed","INCORRECT - The materials warn that an ad with clicks may be less valuable if those clicks bounce. | Bounce behaviour is relevant evidence.","That paid results need measurement","INCORRECT - The materials warn that an ad with clicks may be less valuable if those clicks bounce. | Paid results should be measured.","That clicks alone prove campaign success","CORRECT - The materials warn that an ad with clicks may be less valuable if those clicks bounce. | This option matches the document concept. | KSBs Covered: K4.3, S5.1","That landing-page relevance matters","INCORRECT - The materials warn that an ad with clicks may be less valuable if those clicks bounce. | Landing-page fit can affect conversion quality.","","","3","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which pairing best reflects the integrated approach described in the materials?","Social Media Strategy","","Organic replaces strategy; paid replaces content","INCORRECT - The learning materials position organic as relationship-building and paid as reach/acquisition support. | Neither route replaces strategy or content.","Organic guarantees; paid experiments","INCORRECT - The learning materials position organic as relationship-building and paid as reach/acquisition support. | Organic does not guarantee reach.","Organic hides; paid listens","INCORRECT - The learning materials position organic as relationship-building and paid as reach/acquisition support. | Organic is not described as hiding content.","Organic nurtures; paid amplifies","CORRECT - The learning materials position organic as relationship-building and paid as reach/acquisition support. | This option matches the document concept. | KSBs Covered: K4.2, S1.3","","","4","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
